source,log_message,target_label
Billing System,User User123 logged in,"('Billing System', 'User User123 logged in', 'User Action')"
Billing System,User User456 logged out,"('Billing System', 'User User456 logged out', 'User Action')"
Modern CRM,Account with ID 456 created by AdminUser,"('Modern CRM', 'Account with ID 456 created by AdminUser', 'User Action')"
LegacyCRM,Password reset requested by user User789,"('LegacyCRM', 'Password reset requested by user User789', None)"
LegacyCRM,Backup started at 2024-06-01 10:00:00,"('LegacyCRM', 'Backup started at 2024-06-01 10:00:00', None)"
LegacyCRM,Backup ended at 2024-06-01 10:30:00,"('LegacyCRM', 'Backup ended at 2024-06-01 10:30:00', None)"
Modern CRM,Backup completed successfully,"('Modern CRM', 'Backup completed successfully', 'System Notification')"
Billing System,Scheduled task completed at 2024-06-01 12:00:00,"('Billing System', 'Scheduled task completed at 2024-06-01 12:00:00', 'System Notification')"
Modern CRM,System updated to version 2.1.0,"('Modern CRM', 'System updated to version 2.1.0', 'System Update')"
LegacyCRM,Deprecated API v1 detected,"('LegacyCRM', 'Deprecated API v1 detected', None)"
Billing System,Legacy module payment_gateway is no longer supported,"('Billing System', 'Legacy module payment_gateway is no longer supported', 'Deprecation Warning')"
LegacyCRM,File report.pdf uploaded successfully by user,"('LegacyCRM', 'File report.pdf uploaded successfully by user', None)"
Billing System,File invoice.xlsx deleted successfully,"('Billing System', 'File invoice.xlsx deleted successfully', 'File Operation')"
Modern CRM,Document summary.docx downloaded by user User123,"('Modern CRM', 'Document summary.docx downloaded by user User123', 'File Operation')"
LegacyCRM,Disk cleanup completed successfully,"('LegacyCRM', 'Disk cleanup completed successfully', None)"
Modern CRM,Cache memory cleared successfully,"('Modern CRM', 'Cache memory cleared successfully', 'System Maintenance')"
Billing System,Temporary files removed from system,"('Billing System', 'Temporary files removed from system', 'System Maintenance')"
Modern CRM,System reboot initiated by user AdminUser,"('Modern CRM', 'System reboot initiated by user AdminUser', 'System Reboot')"
LegacyCRM,Server restarted successfully,"('LegacyCRM', 'Server restarted successfully', None)"
LegacyCRM,Email service failed to send notification to user User123,"('LegacyCRM', 'Email service failed to send notification to user User123', None)"
Billing System,Payment workflow execution failed due to timeout,"('Billing System', 'Payment workflow execution failed due to timeout', 'Workflow Error')"
Modern CRM,Data synchronization job failed during execution,"('Modern CRM', 'Data synchronization job failed during execution', 'Workflow Error')"
LegacyCRM,Invalid user credentials provided,"('LegacyCRM', 'Invalid user credentials provided', None)"
Billing System,Unauthorized access attempt detected,"('Billing System', 'Unauthorized access attempt detected', 'Authentication Error')"
LegacyCRM,Unrecognized log message format,"('LegacyCRM', 'Unrecognized log message format', None)"
Modern CRM,Unknown status received from external service,"('Modern CRM', 'Unknown status received from external service', 'Unrecognized')"
